timestamp,device_id,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,warning
1391265,0,20.48875,20.489523,0.51086426,0.48733175,0.0,0.14678922,0.9257022,1.0117501,nan,nan,4.0979047,4.0979047,4.0979047,4.0979047,4.0979047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
1491491,0,20.4875,20.489338,0.519104,0.49262714,0.0,0.16120893,0.9256974,1.0117489,nan,nan,4.0978675,4.0978675,4.0978675,4.0978675,4.0978675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
1591253,0,20.4875,20.48917,0.52734375,0.49841326,0.0,0.17585722,0.9256925,1.0117457,nan,nan,4.097834,4.097834,4.097834,4.097834,4.097834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
1791256,0,20.48875,20.489096,0.4888916,0.4981742,0.0,0.20355165,0.92568326,1.0117497,nan,nan,4.0978193,4.0978193,4.0978193,4.0978193,4.0978193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
1991319,0,20.48875,20.489035,0.4888916,0.4957193,0.0,0.23078898,0.9256742,1.0117577,nan,nan,4.097807,4.097807,4.097807,4.097807,4.097807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
2191519,0,20.48875,20.48888,0.49163818,0.49561673,0.0,0.2583312,0.925665,1.0117656,nan,nan,4.097776,4.097776,4.097776,4.097776,4.097776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
2391250,0,20.48875,20.488855,0.4888916,0.49508774,0.0,0.28579646,0.92565584,1.0117677,nan,nan,4.097771,4.097771,4.097771,4.097771,4.097771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
2591417,0,20.4875,20.488308,0.52734375,0.5186767,0.0,0.31786042,0.9256452,1.0117483,nan,nan,4.0976615,4.0976615,4.0976615,4.0976615,4.0976615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
2791259,0,20.481249,20.487185,0.6866455,0.5650414,0.0,0.35499027,0.9256328,1.0117122,nan,nan,4.097437,4.097437,4.097437,4.097437,4.097437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
2991251,0,20.4875,20.486721,0.49987793,0.5687815,0.0,0.38749152,0.925622,1.0117276,nan,nan,4.0973444,4.0973444,4.0973444,4.0973444,4.0973444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
