timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
8328558,8325342,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,5.5462874e-06,-6.3579096e-06,-3.35397e-05
8344643,8340482,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0893763e-05,9.129953e-06,1.1602602e-05
8360238,8356725,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0893763e-05,9.129953e-06,1.1602602e-05
8376355,8373518,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1089155e-05,-5.160993e-06,1.3630874e-05
8399779,8396249,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1089155e-05,-5.160993e-06,1.3630874e-05
8415952,8413573,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,-3.0633933e-06,1.8434683e-05,-1.4800612e-05
8431428,8428443,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,-3.0633933e-06,1.8434683e-05,-1.4800612e-05
8447175,8444400,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,1.1804074e-05,-2.5103323e-05,1.16419005e-05
8463303,8460235,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.0450743e-06,-3.8093722e-06,-1.9504363e-05
8478904,8476263,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.0450743e-06,-3.8093722e-06,-1.9504363e-05
8502640,8500168,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,6.0450743e-06,-3.8093722e-06,-1.9504363e-05
8518356,8516063,0.0,0.0,0.0,0.0,-0.0019999999,-0.0020000003,0.0,0.0,-6.675617e-06,-1.5996158e-05,-7.132423e-05
8542086,8540195,0.0,0.0,0.0,0.0,-0.0019999999,-0.0020000003,0.0,0.0,-6.675617e-06,-1.5996158e-05,-7.132423e-05
8557888,8556094,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,0.0,0.0,1.6006834e-05,2.9501169e-05,5.6157667e-05
8577656,8574564,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,0.0,0.0,1.6006834e-05,2.9501169e-05,5.6157667e-05
8589620,8588865,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-5.7280404e-06,-8.2176575e-06,-1.2345422e-05
8605856,8604814,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.1706926e-06,-4.8408197e-06,2.1706926e-06,4.8408197e-06,-5.55838e-05
8621214,8620653,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.1706926e-06,-4.8408197e-06,2.1706926e-06,4.8408197e-06,-5.55838e-05
8640950,8637529,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.1706926e-06,-4.8408197e-06,2.1706926e-06,4.8408197e-06,-5.55838e-05
8657234,8653881,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0450319e-05,-1.4523779e-06,1.6816144e-05
8672927,8671207,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.551012e-06,-1.3781301e-05,4.536119e-06
8688416,8685551,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.551012e-06,-1.3781301e-05,4.536119e-06
8712145,8711289,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.551012e-06,-1.3781301e-05,4.536119e-06
8727966,8724917,0.0,0.0,0.0,0.0,-0.002,-1.7484555e-10,0.0,0.0,7.738867e-06,-9.62773e-06,-4.953586e-05
8744073,8740401,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.181552e-06,2.8586594e-06,2.797962e-06
8759662,8756554,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,8.181552e-06,2.8586594e-06,2.797962e-06
8775730,8774058,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.6473973e-07,-1.2341579e-05,-3.9658853e-06
8795668,8791500,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.6473973e-07,-1.2341579e-05,-3.9658853e-06
8807101,8804795,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,2.6473973e-07,-1.2341579e-05,-3.9658853e-06
