timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
1704633,1703378,1.864973e-08,4.366103e-06,0.00011272467,8.109911e-05,0.0031657226,0.07817339,67109376,0,0.19611967,1.7508364,0.0015078716,nan,nan,0.0046335156,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1716541,1715243,1.864973e-08,4.366103e-06,0.00011272467,8.472239e-05,0.0030276522,0.07466314,67109376,0,0.20632927,1.750982,0.0016366454,nan,nan,0.0046335156,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1906392,1905071,1.728964e-08,4.230355e-06,9.5409916e-05,9.6099495e-05,0.0035904765,0.030383203,67109376,0,0.16022253,1.4321826,0.0019364393,nan,nan,0.01268405,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2096264,2094900,1.771581e-08,4.2570064e-06,9.155065e-05,8.4756095e-05,0.0035651121,0.021535596,67109376,0,0.14158002,1.245019,0.0015094898,nan,nan,0.0061538536,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2298073,2296593,1.6649022e-08,4.0515474e-06,8.5045256e-05,0.00010495027,0.0040102266,0.03554834,67109376,0,0.13953984,1.0682386,0.0011668011,nan,nan,0.0070552835,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2499866,2498286,2.0488908e-08,4.605169e-06,8.696427e-05,0.00011072593,0.003828485,0.023586618,67109376,0,0.14121003,0.9935783,0.000926505,nan,nan,0.0021942055,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2705219,2703934,2.6780393e-08,5.7586344e-06,9.558249e-05,3.6451067e-05,0.003265583,0.01167593,67109376,0,0.1474898,0.9440293,0.00014414142,nan,nan,0.0013938502,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2895017,2893763,2.8999711e-08,6.359708e-06,0.00010149143,0.00024101231,0.0043894686,0.0041149007,67109376,0,0.13687871,0.9104133,0.000109099776,nan,nan,0.0104252985,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3104866,3103366,2.879177e-08,6.3096495e-06,9.949573e-05,0.00017954053,0.005641404,0.010797163,67109376,0,0.13671906,0.8676712,0.00039105152,nan,nan,0.008049858,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
3306345,3305059,2.6213058e-08,5.770979e-06,9.952421e-05,0.00038308435,0.008649141,0.020607427,67109376,0,0.13171926,0.86382854,1.9489653e-05,nan,nan,0.008999902,0.0,0.0,0.0,0.0,2490386,2490386,6780449,4395025,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
