timestamp,safety_switch_available,safety_off
1155754,1,1
2179296,1,1
3201756,1,1
4224781,1,1
5247769,1,1
6270755,1,1
7293795,1,1
8317052,1,1
9339753,1,1
10362755,1,1
11386072,1,1
12408753,1,1
13431759,1,1
14455029,1,1
15477753,1,1
16500760,1,1
17524113,1,1
18546754,1,1
19569759,1,1
20592754,1,1
21615794,1,1
22638756,1,1
23661754,1,1
24684784,1,1
25707759,1,1
26730754,1,1
27753754,1,1
28776795,1,1
29799759,1,1
30822757,1,1
31845754,1,1
32868759,1,1
33891772,1,1
34914878,1,1
35937795,1,1
36960756,1,1
37983754,1,1
39006755,1,1
40029758,1,1
41052755,1,1
42076310,1,1
43098798,1,1
44121759,1,1
45144793,1,1
46167756,1,1
47190784,1,1
48213754,1,1
49236753,1,1
50259799,1,1
51282754,1,1
52305754,1,1
53328758,1,1
54351755,1,1
55374783,1,1
56397756,1,1
57420799,1,1
58443758,1,1
59466758,1,1
60489758,1,1
61512753,1,1
62535754,1,1
63558771,1,1
64581800,1,1
65604789,1,1
66627752,1,1
67650756,1,1
68673754,1,1
69696754,1,1
70719753,1,1
71742795,1,1
72766089,1,1
73788753,1,1
74811755,1,1
75835638,1,1
76857754,1,1
77880754,1,1
78904274,1,1
79926756,1,1
80949759,1,1
81972759,1,1
82995754,1,1
84018754,1,1
85041759,1,1
86064793,1,1
87087753,1,1
88110764,1,1
89133762,1,1
90156754,1,1
91179754,1,1
92202754,1,1
93225798,1,1
94248754,1,1
95271753,1,1
96294784,1,1
97317754,1,1
98340753,1,1
99363754,1,1
100386795,1,1
101409767,1,1
102432758,1,1
103455754,1,1
104478753,1,1
105501761,1,1
106525200,1,1
107547793,1,1
108570754,1,1
109593754,1,1
110616753,1,1
111639758,1,1
112662759,1,1
113685752,1,1
114708793,1,1
115731754,1,1
116754785,1,1
117777849,1,1
118800754,1,1
119823761,1,1
120846754,1,1
121869793,1,1
122892758,1,1
123915754,1,1
124938754,1,1
125961800,1,1
126984784,1,1
128007758,1,1
129030795,1,1
130053753,1,1
131077284,1,1
132099759,1,1
133122753,1,1
134145753,1,1
135168757,1,1
136191797,1,1
137214823,1,1
138237753,1,1
139260753,1,1
140283755,1,1
141306755,1,1
142329754,1,1
143352798,1,1
144375782,1,1
145398758,1,1
146421761,1,1
147444813,1,1
148467754,1,1
149490780,1,1
150513794,1,1
151536755,1,1
152559754,1,1
153582753,1,1
154605754,1,1
155628803,1,1
156651753,1,1
157674794,1,1
158697754,1,1
159720753,1,1
160743752,1,1
161767721,1,1
162789754,1,1
163812753,1,1
164835979,1,1
165858753,1,1
166881753,1,1
167905848,1,1
168927753,1,1
169950762,1,1
170974149,1,1
171996793,1,1
173019754,1,1
174042800,1,1
175065756,1,1
176088753,1,1
177111759,1,1
178134791,1,1
179158062,1,1
180180832,1,1
181203753,1,1
182226931,1,1
183249892,1,1
184272753,1,1
185295753,1,1
186318980,1,1
187341761,1,1
188364788,1,1
189388023,1,1
190410753,1,1
191433759,1,1
192457099,1,1
193479859,1,1
194502758,1,1
195526590,1,1
196548758,1,1
197571758,1,1
198596270,1,1
199617753,1,1
200640795,1,1
201663753,1,1
202686754,1,1
203709762,1,1
204732756,1,1
205755754,1,1
206778754,1,1
207801793,1,1
208824783,1,1
209847756,1,1
210870753,1,1
211893753,1,1
212916919,1,1
213939753,1,1
214962794,1,1
215985923,1,1
217008753,1,1
218031759,1,1
219054970,1,1
220077754,1,1
221100753,1,1
222123796,1,1
223146754,1,1
224169754,1,1
225192753,1,1
226216643,1,1
227238753,1,1
228261760,1,1
229285523,1,1
230307760,1,1
231330756,1,1
232354424,1,1
233376753,1,1
234399760,1,1
235422881,1,1
236445793,1,1
237468759,1,1
238491769,1,1
239514791,1,1
240537753,1,1
241560754,1,1
242583753,1,1
243606794,1,1
244629754,1,1
245652753,1,1
246675753,1,1
247698753,1,1
248722204,1,1
249744790,1,1
250767794,1,1
251791395,1,1
252813754,1,1
253836754,1,1
254859945,1,1
255882755,1,1
256905754,1,1
257928794,1,1
258951753,1,1
259974784,1,1
260998010,1,1
262021041,1,1
263043753,1,1
264066755,1,1
265089822,1,1
266112754,1,1
267135754,1,1
268158754,1,1
269181753,1,1
270204783,1,1
271227758,1,1
272251326,1,1
273273753,1,1
274296758,1,1
275319921,1,1
276342755,1,1
277365757,1,1
278388754,1,1
279412318,1,1
280434784,1,1
281457754,1,1
282480766,1,1
283503754,1,1
284526782,1,1
285549758,1,1
286572793,1,1
287595754,1,1
288618755,1,1
289642357,1,1
290664791,1,1
291687754,1,1
292710863,1,1
293733793,1,1
294756762,1,1
295779790,1,1
296802977,1,1
297825754,1,1
298848756,1,1
299871756,1,1
300894793,1,1
301917753,1,1
302940761,1,1
303964748,1,1
304986753,1,1
306009759,1,1
307033174,1,1
308055795,1,1
