timestamp,timestamp_sample,device_id,sensor_sample_rate_hz,resolution_hz,peak_frequencies_x[0],peak_frequencies_x[1],peak_frequencies_x[2],peak_frequencies_y[0],peak_frequencies_y[1],peak_frequencies_y[2],peak_frequencies_z[0],peak_frequencies_z[1],peak_frequencies_z[2],peak_snr_x[0],peak_snr_x[1],peak_snr_x[2],peak_snr_y[0],peak_snr_y[1],peak_snr_y[2],peak_snr_z[0],peak_snr_z[1],peak_snr_z[2]
1439641,1434455,2490386,8091.433,15.80358,142.23222,nan,nan,nan,nan,nan,nan,nan,nan,10.930339,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1455994,1450274,2490386,8091.433,15.80358,143.96318,nan,nan,nan,nan,nan,nan,nan,nan,9.975797,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1487151,1481912,2490386,8091.433,15.80358,143.96318,nan,nan,nan,nan,nan,nan,nan,nan,10.471941,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1534563,1529369,2490386,8091.433,15.80358,144.14076,nan,nan,nan,nan,nan,nan,nan,nan,9.247833,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1582094,1576826,2490386,8091.433,15.80358,145.08116,nan,nan,nan,nan,nan,nan,nan,nan,9.627885,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1645779,1640105,2490386,8091.433,15.80358,144.8122,nan,nan,nan,nan,nan,nan,nan,nan,9.558333,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
1693291,1687559,2490386,8091.433,15.80358,143.86548,nan,nan,nan,nan,nan,nan,nan,nan,10.93142,nan,nan,nan,nan,nan,0.0,0.0,0.0
1740638,1735017,2490386,8091.433,15.80358,143.42896,nan,nan,nan,nan,nan,nan,nan,nan,10.282591,nan,nan,nan,nan,nan,0.0,0.0,0.0
1788185,1782474,2490386,8091.433,15.80358,142.58478,nan,nan,nan,nan,nan,nan,nan,nan,8.762741,nan,nan,nan,nan,nan,0.0,0.0,0.0
1819278,1814119,2490386,8091.433,15.80358,143.07881,nan,nan,nan,nan,nan,nan,nan,nan,8.525184,nan,nan,nan,nan,nan,0.0,0.0,0.0
1867076,1861569,2490386,8091.433,15.80358,143.63597,nan,nan,nan,nan,nan,nan,nan,nan,10.505258,nan,nan,nan,nan,nan,0.0,0.0,0.0
1914182,1909026,2490386,8091.433,15.80358,143.76688,nan,nan,nan,nan,nan,nan,nan,nan,10.3323345,nan,nan,nan,nan,nan,0.0,0.0,0.0
1993315,1988121,2490386,8091.433,15.80358,143.63597,nan,nan,nan,nan,nan,nan,nan,nan,6.7652082,nan,nan,nan,nan,nan,0.0,0.0,0.0
2009177,2003940,2490386,8091.433,15.80358,143.76688,nan,nan,nan,nan,nan,nan,nan,nan,9.891097,nan,nan,nan,nan,nan,0.0,0.0,0.0
2088304,2083035,2490386,8091.433,15.80358,144.47948,nan,nan,nan,nan,nan,nan,nan,nan,5.4961233,nan,nan,nan,nan,nan,0.0,0.0,0.0
2120324,2114674,2490386,8091.433,15.80358,144.91586,nan,nan,nan,nan,nan,nan,nan,nan,10.187244,nan,nan,nan,nan,nan,0.0,0.0,0.0
