timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],accel_priority[0],accel_priority[1],accel_priority[2],accel_priority[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3],gyro_priority[0],gyro_priority[1],gyro_priority[2],gyro_priority[3]
1427404,2490386,2490386,3670026,0,0,0.046021998,0.046021987,0.0,0.0,2490386,2490386,3670026,0,0,0.0020971487,0.0020971487,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
1431384,2490386,2490386,3670026,0,0,0.046052467,0.04605245,0.0,0.0,2490386,2490386,3670026,0,0,0.002075698,0.002075698,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
1629025,2490386,2490386,3670026,0,0,0.045380075,0.04538008,0.0,0.0,2490386,2490386,3670026,0,0,0.002192396,0.002192396,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
1826764,2490386,2490386,3670026,0,0,0.04379764,0.043797642,0.0,0.0,2490386,2490386,3670026,0,0,0.0021519999,0.0021519999,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
2032418,2490386,2490386,3670026,0,0,0.044485807,0.044485807,0.0,0.0,2490386,2490386,3670026,0,0,0.0021794385,0.0021794385,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
2230141,2490386,2490386,3670026,0,0,0.04505007,0.045050062,0.0,0.0,2490386,2490386,3670026,0,0,0.002217177,0.002217177,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
2431814,2490386,2490386,3670026,0,0,0.04498845,0.04498844,0.0,0.0,2490386,2490386,3670026,0,0,0.0022238865,0.0022238868,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
2629556,2490386,2490386,3670026,0,0,0.042206038,0.042206045,0.0,0.0,2490386,2490386,3670026,0,0,0.0021624789,0.0021624789,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
2831262,2490386,2490386,3670026,0,0,0.045558907,0.045558907,0.0,0.0,2490386,2490386,3670026,0,0,0.0022733894,0.0022733894,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
3028989,2490386,2490386,3670026,0,0,0.04345843,0.04345842,0.0,0.0,2490386,2490386,3670026,0,0,0.0021390554,0.0021390554,0.0,0.0,1,1,0,0,50,50,0,0,1,1,0,0,50,50,0,0
