timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
1904759,4.6631837,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2405128,4.6583495,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
2904759,4.6776853,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
3405387,4.6937985,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
3904772,4.6825194,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
4404757,4.676074,3.2919433,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
4904759,4.6954103,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
5404757,4.6986327,3.2919433,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
5904759,4.655127,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
6404757,4.7066894,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
6905603,4.664795,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
7404772,4.6776853,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
7904757,4.6937985,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
8404770,4.5987306,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
8904757,4.613232,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
9405244,4.5987306,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
9904767,4.6293454,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
10405352,4.650293,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
10904771,4.664795,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
11404757,4.6438475,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
11904759,4.630957,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
12404758,4.637402,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
12904757,4.690576,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
13404756,4.6825194,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
13905694,4.679297,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
14404761,4.74375,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
14904757,4.6631837,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
15404980,4.6921873,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
15904757,4.705078,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
16405424,4.6712403,3.295166,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
16904775,4.680908,3.2935545,0.0,0.0,0.0,1,1,1,1,1,0,0,0,0
