timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
2258690,46080.0,1.0,10750.531,0.0,149,0,489.02344,25,434,0,0,0,17.36,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3017932,46080.0,1.0,10750.531,0.0,257,0,489.02344,62,2460,0,0,0,39.677418,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3771998,46080.0,1.0,13373.631,0.0,375,0,7777.7144,101,4484,0,0,0,44.396038,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5273983,46080.0,1.0,14727.05,0.0,657,0,7815.8423,176,8279,0,0,0,47.039772,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6028855,46080.0,1.0,14727.05,0.0,888,0,7815.8423,215,10084,0,0,0,46.902325,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6775622,46080.0,1.0,20249.867,0.0,1120,0,7816.475,251,12074,0,0,0,48.103584,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8282179,46080.0,1.0,19987.227,0.0,1592,0,7804.469,326,16124,0,0,0,49.46012,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9038118,46080.0,1.0,19987.227,0.0,1840,0,7804.469,365,18403,0,0,0,50.419178,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9791126,46080.0,1.0,20802.518,0.0,2089,0,7789.116,401,20429,0,0,0,50.945137,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11307481,46080.0,1.0,20940.479,0.0,2590,0,7816.819,477,24224,0,0,0,50.784065,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12059405,46080.0,1.0,20940.479,0.0,2837,0,7816.819,515,26224,0,0,0,50.920387,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12817933,46080.0,1.0,20773.285,0.0,3085,0,7812.5854,552,28019,0,0,0,50.759056,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14325799,46080.0,1.0,21949.559,0.0,3625,0,7808.4595,629,32022,0,0,0,50.90938,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15082169,46080.0,1.0,21949.559,0.0,3891,0,7808.4595,666,33839,0,0,0,50.80931,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15844010,46080.0,1.0,22029.418,0.0,4171,0,7798.5537,705,35801,0,0,0,50.78156,0,2,1,0,1,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17374867,46080.0,1.0,22181.795,0.0,4726,0,7812.5317,784,40168,0,0,0,51.234695,0,2,1,0,1,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18344109,46080.0,1.0,28933.848,0.0,5303,0,8333.5,854,42952,0,0,0,50.295082,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19339836,46080.0,1.0,31520.967,0.0,5912,0,8295.307,925,45483,0,0,0,49.17081,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20340522,46080.0,1.0,31495.143,0.0,6518,0,8294.03,997,48416,0,0,0,48.561684,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21333603,46080.0,1.0,27523.236,0.0,6972,0,8301.658,1068,51192,0,0,0,47.932583,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22335976,46080.0,1.0,22641.68,0.0,7341,0,8253.873,1137,53712,0,0,0,47.240105,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23335033,46080.0,1.0,22627.766,0.0,7712,0,8094.065,1206,56233,0,0,0,46.627693,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24342414,46080.0,1.0,22715.158,0.0,8088,0,8354.082,1285,59009,0,0,0,45.921402,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25336472,46080.0,1.0,22746.281,0.0,8456,0,8015.7266,1355,61530,0,0,0,45.409595,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26336937,46080.0,1.0,22643.395,0.0,8825,0,8033.947,1423,64051,0,0,0,45.011246,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27344366,46080.0,1.0,22905.27,0.0,9200,0,7539.1743,1491,66574,0,0,0,44.65057,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28337314,46080.0,1.0,22649.826,0.0,9566,0,8280.205,1562,69094,0,0,0,44.234314,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29335945,46080.0,1.0,22779.703,0.0,9937,0,8285.705,1631,71615,0,0,0,43.908646,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30335752,46080.0,1.0,22615.303,0.0,10307,0,8018.6694,1701,74136,0,0,0,43.583775,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31336110,46080.0,1.0,22724.707,0.0,10678,0,8052.101,1771,76657,0,0,0,43.284584,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32336424,46080.0,1.0,22636.424,0.0,11047,0,8321.642,1841,79178,0,0,0,43.00815,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33336276,46080.0,1.0,22747.125,0.0,11419,0,7788.249,1911,81923,0,0,0,42.86918,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34332346,46080.0,1.0,22635.346,0.0,11788,0,7786.9263,1979,84453,0,0,0,42.674583,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35337080,46080.0,1.0,22728.816,0.0,12159,0,8053.911,2048,86998,0,0,0,42.479492,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36333152,46080.0,1.0,22644.627,0.0,12529,0,7785.308,2116,89775,0,0,0,42.42675,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37334153,46080.0,1.0,22723.799,0.0,12900,0,8052.133,2188,93060,0,0,0,42.531994,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38336183,46080.0,1.0,22650.303,0.0,13269,0,8288.741,2258,95580,0,0,0,42.329494,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39336376,46080.0,1.0,22789.197,0.0,13641,0,8021.2305,2326,98103,0,0,0,42.176697,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40332390,46080.0,1.0,22634.553,0.0,14010,0,7786.654,2395,100654,0,0,0,42.026722,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41337284,46080.0,1.0,22741.02,0.0,14381,0,8081.2305,2466,103145,0,0,0,41.826843,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42333755,46080.0,1.0,22681.527,0.0,14751,0,7807.5757,2533,105668,0,0,0,41.71654,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43334028,46080.0,1.0,22725.07,0.0,15122,0,7785.829,2602,108244,0,0,0,41.600307,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44335045,46080.0,1.0,22640.53,0.0,15491,0,8222.962,2671,110710,0,0,0,41.448895,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45332798,46080.0,1.0,22721.486,0.0,15863,0,7338.239,2740,113488,0,0,0,41.41898,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46333495,46080.0,1.0,22606.314,0.0,16232,0,8264.298,2809,116344,0,0,0,41.418297,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47333003,46080.0,1.0,22679.26,0.0,16603,0,8278.906,2879,118874,0,0,0,41.29003,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48337067,46080.0,1.0,22888.156,0.0,16973,0,8015.343,2948,121562,0,0,0,41.235413,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49334341,46080.0,1.0,22677.744,0.0,17343,0,8026.9985,3017,124337,0,0,0,41.21213,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50334640,46080.0,1.0,22646.246,0.0,17712,0,8034.959,3085,126859,0,0,0,41.12123,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51332304,46080.0,1.0,22730.36,0.0,18084,0,8026.1807,3154,129380,0,0,0,41.020927,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52335201,46080.0,1.0,22710.248,0.0,18453,0,7551.7983,3222,132290,0,0,0,41.05835,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53332374,46080.0,1.0,22389.725,0.0,18812,0,7566.4995,3291,134820,0,0,0,40.96627,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54332659,46080.0,1.0,21416.896,0.0,19152,0,8041.9375,3361,137202,0,0,0,40.821777,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55337314,46080.0,1.0,21540.111,0.0,19493,0,8058.171,3430,139724,0,0,0,40.73586,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56334926,46080.0,1.0,21459.477,0.0,19832,0,8023.3447,3500,142498,0,0,0,40.713715,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57332455,46080.0,1.0,21498.393,0.0,20172,0,8028.9307,3569,145020,0,0,0,40.633232,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58335427,46080.0,1.0,21400.803,0.0,20512,0,7796.983,3637,147543,0,0,0,40.567226,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59335788,46080.0,1.0,21488.602,0.0,20852,0,7772.961,3706,150255,0,0,0,40.543713,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60332391,46080.0,1.0,21426.277,0.0,21192,0,8068.0425,3777,152840,0,0,0,40.465977,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61332641,46080.0,1.0,21532.354,0.0,21533,0,7530.588,3844,155825,0,0,0,40.5372,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62332661,46080.0,1.0,21548.13,0.0,21872,0,8306.235,3916,158138,0,0,0,40.382534,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63333564,46080.0,1.0,21524.129,0.0,22214,0,7270.2217,3981,160662,0,0,0,40.357197,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64334387,46080.0,1.0,21394.008,0.0,22553,0,8424.558,4051,163437,0,0,0,40.344852,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65335918,46080.0,1.0,21576.445,0.0,22894,0,8136.133,4119,165958,0,0,0,40.290848,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66335794,46080.0,1.0,21731.295,0.0,23234,0,8267.796,4190,168734,0,0,0,40.270645,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67332938,46080.0,1.0,21515.219,0.0,23575,0,8258.4375,4260,171771,0,0,0,40.32183,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68332798,46080.0,1.0,21436.559,0.0,23914,0,8053.8228,4330,174285,0,0,0,40.250576,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69332981,46080.0,1.0,21528.643,0.0,24256,0,8047.9043,4399,176806,0,0,0,40.192318,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70333931,46080.0,1.0,21591.928,0.0,24602,0,7564.617,4468,179329,0,0,0,40.136303,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71334565,46080.0,1.0,22897.773,0.0,24979,0,7544.9717,4534,182108,0,0,0,40.164974,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72333135,46080.0,1.0,22900.045,0.0,25359,0,7786.8945,4602,185140,0,0,0,40.230335,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73332637,46080.0,1.0,23069.35,0.0,25740,0,7309.733,4670,187663,0,0,0,40.184795,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74333259,46080.0,1.0,22890.566,0.0,26119,0,7520.6025,4737,190441,0,0,0,40.20287,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75332705,46080.0,1.0,22964.006,0.0,26501,0,7776.7466,4805,193031,0,0,0,40.172943,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76334055,46080.0,1.0,22937.47,0.0,26880,0,7759.672,4871,195742,0,0,0,40.185177,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77334991,46080.0,1.0,23065.611,0.0,27261,0,8051.8354,4941,198263,0,0,0,40.126087,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78335349,46080.0,1.0,22888.86,0.0,27641,0,7769.869,5010,201039,0,0,0,40.127544,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79333136,46080.0,1.0,22979.281,0.0,28022,0,7809.978,5079,203561,0,0,0,40.078953,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80332798,46080.0,1.0,22889.963,0.0,28401,0,7544.044,5146,206594,0,0,0,40.146523,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81332262,46080.0,1.0,22910.545,0.0,28783,0,7923.7686,5215,209116,0,0,0,40.098946,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82334196,46080.0,1.0,22892.691,0.0,29162,0,7644.2236,5282,211639,0,0,0,40.067966,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83333890,46080.0,1.0,22994.977,0.0,29543,0,7560.335,5349,214162,0,0,0,40.037766,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84335294,46080.0,1.0,22946.828,0.0,29923,0,8044.514,5420,216684,0,0,0,39.9786,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85335742,46080.0,1.0,22988.447,0.0,30304,0,8079.9937,5490,219205,0,0,0,39.92805,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86331659,46080.0,1.0,23072.6,0.0,30683,0,8056.671,5561,221882,0,0,0,39.89966,0,2,1,0,1,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
