timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
5267495,0.0,-0.0,0.29105923,0.0,0.98942924,0.0,0.0,0.14501646,0.0,0.0,-0.0,0,0,0,0,0
5271489,0.0,-0.0,0.29111212,0.0,0.9894254,0.0,0.0,0.14504263,0.0,0.0,-0.0,0,0,0,0,0
5275384,0.0,-0.0,0.29116943,0.0,0.98942125,0.0,0.0,0.14507098,0.0,0.0,-0.0,0,0,0,0,0
5279326,0.0,-0.0,0.2909976,0.0,0.9894337,0.0,0.0,0.14498597,0.0,0.0,-0.0,0,0,0,0,0
5283296,0.0,-0.0,0.29082832,0.0,0.989446,0.0,0.0,0.14490223,0.0,0.0,-0.0,0,0,0,0,0
5287242,0.0,-0.0,0.29060638,0.0,0.9894621,0.0,0.0,0.14479244,0.0,0.0,-0.0,0,0,0,0,0
5291249,0.0,-0.0,0.29037973,0.0,0.98947847,0.0,0.0,0.1446803,0.0,0.0,-0.0,0,0,0,0,0
5295150,0.0,-0.0,0.2901505,0.0,0.98949504,0.0,0.0,0.1445669,0.0,0.0,-0.0,0,0,0,0,0
5299106,0.0,-0.0,0.2899066,0.0,0.9895127,0.0,0.0,0.14444621,0.0,0.0,-0.0,0,0,0,0,0
5303189,0.0,-0.0,0.2896586,0.0,0.98953056,0.0,0.0,0.14432353,0.0,0.0,-0.0,0,0,0,0,0
5307009,0.0,-0.0,0.29008436,0.0,0.9894998,0.0,0.0,0.14453417,0.0,0.0,-0.0,0,0,0,0,0
5310963,0.0,-0.0,0.2905039,0.0,0.98946947,0.0,0.0,0.14474173,0.0,0.0,-0.0,0,0,0,0,0
5314946,0.0,-0.0,0.29091752,0.0,0.9894395,0.0,0.0,0.14494635,0.0,0.0,-0.0,0,0,0,0,0
5318867,0.0,-0.0,0.29139873,0.0,0.9894046,0.0,0.0,0.14518443,0.0,0.0,-0.0,0,0,0,0,0
5322883,0.0,-0.0,0.29187506,0.0,0.98937,0.0,0.0,0.14542006,0.0,0.0,-0.0,0,0,0,0,0
