timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
1009451,0,0,1,0,0,1,1,0,0,0,0,0,0
1510976,0,0,1,0,0,1,1,0,0,0,0,0,0
2013294,0,0,1,0,0,1,1,0,0,0,0,0,0
2524350,0,0,1,0,0,1,1,0,0,0,0,0,0
3033998,0,0,1,0,0,1,1,0,0,0,0,0,0
3540821,0,0,1,0,0,1,1,0,0,0,0,0,0
4048823,0,0,1,0,0,1,1,0,0,0,0,0,0
4094569,0,0,1,0,0,1,1,0,0,0,0,0,0
4599410,0,0,1,0,0,1,1,0,0,0,0,0,0
5109961,0,0,1,0,0,1,1,0,0,0,0,0,0
5620955,0,0,1,0,0,1,1,0,0,0,0,0,0
6128824,0,0,1,0,0,1,1,0,0,0,0,0,0
6638789,0,0,1,0,0,1,1,0,0,0,0,0,0
7138816,0,0,1,0,0,1,1,0,0,0,0,0,0
7647794,0,0,1,0,0,1,1,0,0,0,0,0,0
8150794,0,0,1,0,0,1,1,0,0,0,0,0,0
8659795,0,0,1,0,0,1,1,0,0,0,0,0,0
9163593,0,0,1,0,0,1,1,0,0,0,0,0,0
9671793,0,0,1,0,0,1,1,0,0,0,0,0,0
10171952,0,0,1,0,0,1,1,0,0,0,0,0,0
10683008,0,0,1,0,0,1,1,0,0,0,0,0,0
11193849,0,0,1,0,0,1,1,0,0,0,0,0,0
11694855,0,0,1,0,0,1,1,0,0,0,0,0,0
12205791,0,0,1,0,0,1,1,0,0,0,0,0,0
12713794,0,0,1,0,0,1,1,0,0,0,0,0,0
13215943,0,0,1,0,0,1,1,0,0,0,0,0,0
13716579,0,0,1,0,0,1,1,0,0,0,0,0,0
14140898,0,0,1,0,0,1,1,0,0,0,0,0,0
14642865,0,0,1,0,0,1,1,0,0,0,0,0,0
15149895,0,0,1,0,0,1,1,0,0,0,0,0,0
15659852,0,0,1,0,0,1,1,0,0,0,0,0,0
16160848,0,0,1,0,0,1,1,0,0,0,0,0,0
16661794,0,0,1,0,0,1,1,0,0,0,0,0,0
17169796,0,0,1,0,0,1,1,0,0,0,0,0,0
17427889,0,1,1,0,0,1,1,0,1,1,1,1,0
17938200,0,1,1,0,0,1,1,0,1,1,1,1,0
18441092,0,1,1,0,0,1,1,0,1,1,1,1,0
18941903,0,1,1,0,0,1,1,0,1,1,1,1,0
19452001,0,1,1,0,0,1,1,0,1,1,1,1,0
19956848,0,1,1,0,0,1,1,0,1,1,1,1,0
20463858,0,1,1,0,0,1,1,0,1,1,1,1,0
20973794,0,1,1,0,0,1,1,0,1,1,1,1,0
21484840,0,1,1,0,0,1,1,0,1,1,1,1,0
21985790,0,1,1,0,0,1,1,0,1,1,1,1,0
22488590,0,1,1,0,0,1,1,0,1,1,1,1,0
22989828,0,1,1,0,0,1,1,0,1,1,1,1,0
23495950,0,1,1,0,0,1,1,0,1,1,1,1,0
23997983,0,1,1,0,0,1,1,0,1,1,1,1,0
24498823,0,1,1,0,0,1,1,0,1,1,1,1,0
25002821,0,1,1,0,0,1,1,0,1,1,1,1,0
25510789,0,1,1,0,0,1,1,0,1,1,1,1,0
26013832,0,1,1,0,0,1,1,0,1,1,1,1,0
26517792,0,1,1,0,0,1,1,0,1,1,1,1,0
27019896,0,1,1,0,0,1,1,0,1,1,1,1,0
27522843,0,1,1,0,0,1,1,0,1,1,1,1,0
28028181,0,1,1,0,0,1,1,0,1,1,1,1,0
28528793,0,1,1,0,0,1,1,0,1,1,1,1,0
29029791,0,1,1,0,0,1,1,0,1,1,1,1,0
29538304,0,1,1,0,0,1,1,0,1,1,1,1,0
30041165,0,1,1,0,0,1,1,0,1,1,1,1,0
30544841,0,1,1,0,0,1,1,0,1,1,1,1,0
31046089,0,1,1,0,0,1,1,0,1,1,1,1,0
31552422,0,1,1,0,0,1,1,0,1,1,1,1,0
32056828,0,1,1,0,0,1,1,0,1,1,1,1,0
32559982,0,1,1,0,0,1,1,0,1,1,1,1,0
33063791,0,1,1,0,0,1,1,0,1,1,1,1,0
33572623,0,1,1,0,0,1,1,0,1,1,1,1,0
34073791,0,1,1,0,0,1,1,0,1,1,1,1,0
34577889,0,1,1,0,0,1,1,0,1,1,1,1,0
35087531,0,1,1,0,0,1,1,0,1,1,1,1,0
35590914,0,1,1,0,0,1,1,0,1,1,1,1,0
36096120,0,1,1,0,0,1,1,0,1,1,1,1,0
36599875,0,1,1,0,0,1,1,0,1,1,1,1,0
37104962,0,1,1,0,0,1,1,0,1,1,1,1,0
37615791,0,1,1,0,0,1,1,0,1,1,1,1,0
38118870,0,1,1,0,0,1,1,0,1,1,1,1,0
38619793,0,1,1,0,0,1,1,0,1,1,1,1,0
39130792,0,1,1,0,0,1,1,0,1,1,1,1,0
39631830,0,1,1,0,0,1,1,0,1,1,1,1,0
40137940,0,1,1,0,0,1,1,0,1,1,1,1,0
40648037,0,1,1,0,0,1,1,0,1,1,1,1,0
41151849,0,1,1,0,0,1,1,0,1,1,1,1,0
41657099,0,1,1,0,0,1,1,0,1,1,1,1,0
42167019,0,1,1,0,0,1,1,0,1,1,1,1,0
42671933,0,1,1,0,0,1,1,0,1,1,1,1,0
43179892,0,1,1,0,0,1,1,0,1,1,1,1,0
43683832,0,1,1,0,0,1,1,0,1,1,1,1,0
44184190,0,1,1,0,0,1,1,0,1,1,1,1,0
44693979,0,1,1,0,0,1,1,0,1,1,1,1,0
45204660,0,1,1,0,0,1,1,0,1,1,1,1,0
45706662,0,1,1,0,0,1,1,0,1,1,1,1,0
46208582,0,1,1,0,0,1,1,0,1,1,1,1,0
46713833,0,1,1,0,0,1,1,0,1,1,1,1,0
47219863,0,1,1,0,0,1,1,0,1,1,1,1,0
47728870,0,1,1,0,0,1,1,0,1,1,1,1,0
48237423,0,1,1,0,0,1,1,0,1,1,1,1,0
48743581,0,1,1,0,0,1,1,0,1,1,1,1,0
49250792,0,1,1,0,0,1,1,0,1,1,1,1,0
49750825,0,1,1,0,0,1,1,0,1,1,1,1,0
50260795,0,1,1,0,0,1,1,0,1,1,1,1,0
50761822,0,1,1,0,0,1,1,0,1,1,1,1,0
51261889,0,1,1,0,0,1,1,0,1,1,1,1,0
51769392,0,1,1,0,0,1,1,0,1,1,1,1,0
52278983,0,1,1,0,0,1,1,0,1,1,1,1,0
52785824,0,1,1,0,0,1,1,0,1,1,1,1,0
52877572,0,1,1,0,0,1,1,0,0,0,1,1,0
53383098,0,1,1,0,0,1,1,0,0,0,1,1,0
53885219,0,1,1,0,0,1,1,0,0,0,1,1,0
54395754,0,1,1,0,0,1,1,0,0,0,1,1,0
54529904,0,1,1,0,0,1,1,0,0,0,1,1,0
55040902,0,1,1,0,0,1,1,0,0,0,1,1,0
55550991,0,1,1,0,0,1,1,0,0,0,1,1,0
56056912,0,1,1,0,0,1,1,0,0,0,1,1,0
56563793,0,1,1,0,0,1,1,0,0,0,1,1,0
57073793,0,1,1,0,0,1,1,0,0,0,1,1,0
57579793,0,1,1,0,0,1,1,0,0,0,1,1,0
58089387,0,1,1,0,0,1,1,0,0,0,1,1,0
58591038,0,1,1,0,0,1,1,0,0,0,1,1,0
59097402,0,1,1,0,0,1,1,0,0,0,1,1,0
59599921,0,1,1,0,0,1,1,0,0,0,1,1,0
60103833,0,1,1,0,0,1,1,0,0,0,1,1,0
60610833,0,1,1,0,0,1,1,0,0,0,1,1,0
61115074,0,1,1,0,0,1,1,0,0,0,1,1,0
61626283,0,1,1,0,0,1,1,0,0,0,1,1,0
62136887,0,1,1,0,0,1,1,0,0,0,1,1,0
62641942,0,1,1,0,0,1,1,0,0,0,1,1,0
63149795,0,1,1,0,0,1,1,0,0,0,1,1,0
63650965,0,1,1,0,0,1,1,0,0,0,1,1,0
64153797,0,1,1,0,0,1,1,0,0,0,1,1,0
64663815,0,1,1,0,0,1,1,0,0,0,1,1,0
64730820,0,1,1,0,0,1,1,0,0,0,1,1,0
65240792,0,1,1,0,0,1,1,0,0,0,1,1,0
65749795,0,1,1,0,0,1,1,0,0,0,1,1,0
66249807,0,1,1,0,0,1,1,0,0,0,1,1,0
66751961,0,1,1,0,0,1,1,0,0,0,1,1,0
67252433,0,1,1,0,0,1,1,0,0,0,1,1,0
67752904,0,1,1,0,0,1,1,0,0,0,1,1,0
68253152,0,1,1,0,0,1,1,0,0,0,1,1,0
68757853,0,1,1,0,0,1,1,0,0,0,1,1,0
69258865,0,1,1,0,0,1,1,0,0,0,1,1,0
69761016,0,1,1,0,0,1,1,0,0,0,1,1,0
70271795,0,1,1,0,0,1,1,0,0,0,1,1,0
70781835,0,1,1,0,0,1,1,0,0,0,1,1,0
71097066,0,1,1,0,0,1,1,0,1,1,1,1,0
71603826,0,1,1,0,0,1,1,0,1,1,1,1,0
72110903,0,1,1,0,0,1,1,0,1,1,1,1,0
72619783,0,1,1,0,0,1,1,0,1,1,1,1,0
73127796,0,1,1,0,0,1,1,0,1,1,1,1,0
73633000,0,1,1,0,0,1,1,0,1,1,1,1,0
74141897,0,1,1,0,0,1,1,0,1,1,1,1,0
74644845,0,1,1,0,0,1,1,0,1,1,1,1,0
75146795,0,1,1,0,0,1,1,0,1,1,1,1,0
75653795,0,1,1,0,0,1,1,0,1,1,1,1,0
76155482,0,1,1,0,0,1,1,0,1,1,1,1,0
76656969,0,1,1,0,0,1,1,0,1,1,1,1,0
