timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
2143085,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.02211711,0.001073205,4.4022204e-06,0.1154595,-0.09245178,-9.875157,0.01439222,0.0021557317,0.004998965,0.00028162467,0.00033119175,0.0011811292,2.2045413e-06,1.2152602e-06,1.3399653e-06,46.429935,46.429935
3171310,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.02453421,0.0015143466,6.984129e-06,0.11344416,-0.10314401,-9.875823,0.014221451,0.0023646746,0.0058875047,0.0059331264,0.0025295282,0.001329846,2.2343984e-06,1.1777677e-06,8.228758e-06,46.515438,46.515438
4199546,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.032900024,0.0018284495,9.800292e-06,0.1764625,-0.10104177,-9.869611,0.014239515,0.0025949928,0.004348782,0.00046520802,0.007583581,0.0039340183,4.3703913e-06,4.689554e-06,3.982141e-06,46.596085,46.596085
5125118,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.027499892,0.002047999,9.19172e-06,0.13004129,-0.09365704,-9.886955,0.01439753,0.0023391186,0.00502434,0.0025236118,0.000847301,0.0014428054,2.9952762e-06,2.2953627e-06,1.9461702e-05,46.64899,46.64899
6153216,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.020886416,0.0012258225,5.2618234e-06,0.13538341,-0.09826182,-9.874224,0.014348133,0.0022575513,0.005969078,0.0010609075,0.00035948734,0.0014159409,2.5727861e-06,1.0291028e-06,6.53261e-07,46.706326,46.706326
7181540,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.022224484,0.0011516224,4.943915e-06,0.14722343,-0.07220709,-9.889539,0.014493511,0.0024302478,0.00601302,0.0018468935,0.00067451096,0.0027398362,2.5461304e-06,1.777609e-06,2.534726e-06,46.759598,46.759598
8106880,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.026432449,0.0018133527,7.64517e-06,0.12596793,-0.101067685,-9.877741,0.014283716,0.0024386079,0.0055408487,0.0008613237,0.00032918257,0.0022350873,2.3450618e-06,2.0988225e-06,1.8215866e-06,46.798294,46.798294
9135218,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.028298987,0.0018076889,1.0357549e-05,0.2498251,-0.108346276,-9.870898,0.015376331,0.00349383,0.0071553322,0.0033123011,0.0045419093,0.0086918585,8.640262e-06,1.4350255e-05,1.4674433e-05,46.82789,46.82789
10163468,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.022784015,0.0015032176,7.521822e-06,0.14703435,-0.09721647,-9.877793,0.014302664,0.0024330872,0.005885821,0.00059710647,0.0005341147,0.0010545667,2.131301e-06,7.140773e-07,3.5053522e-06,46.882915,46.882915
11191654,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.018911254,0.0009898202,4.2500055e-06,0.18562359,-0.111603305,-9.875844,0.014263626,0.0023378306,0.0059032165,0.0003771046,0.00018635932,0.0011953203,2.3152797e-06,7.042769e-07,1.1333403e-06,46.91957,46.91957
12117077,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.020202084,0.0011703509,5.1149295e-06,0.19002897,-0.09437066,-9.87604,0.014215402,0.0021171197,0.0053570326,0.0005351762,0.0009095001,0.0010053866,2.1273718e-06,3.0992285e-07,1.7779228e-05,46.939083,46.939083
13145315,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.037105337,0.0020143446,1.1005474e-05,0.08175304,-0.0914973,-9.889337,0.013583144,0.0009027168,0.004871142,0.0052360105,0.0037994445,0.0026680974,7.4057825e-06,2.5256008e-06,1.2221322e-05,46.992004,46.992004
14173637,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.025843302,0.001745898,8.9359255e-06,0.17311917,-0.115637794,-9.870412,0.014583801,0.002200839,0.0053238114,0.0014485389,0.0033883946,0.0010543762,2.78542e-06,1.6069686e-06,1.480333e-05,47.006443,47.006443
15201924,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.0260267,0.0018323665,9.391218e-06,0.13183217,-0.10483288,-9.871024,0.014395015,0.002232952,0.005842411,0.0005240248,0.001596136,0.0031365482,1.8585248e-06,2.4133137e-06,6.675975e-06,47.03961,47.03961
16127353,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.035961762,0.0023485248,1.4783387e-05,0.16867152,-0.10039233,-9.854781,0.011548221,-0.0022127798,0.0039706365,0.010907717,0.003392284,0.005148017,4.407411e-06,1.49276375e-05,2.8954102e-05,47.055073,47.055073
17155524,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.024929022,0.0015779993,7.806818e-06,0.11901887,-0.12799795,-9.882499,0.014278613,0.0019331597,0.0047853603,0.0013248264,0.0012997688,0.0017198679,2.823565e-06,1.2849432e-06,6.11809e-06,47.087654,47.087654
18183863,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.01939984,0.0012236726,5.07361e-06,0.16505302,-0.08000702,-9.876359,0.014584698,0.0021558844,0.005678676,0.00051717577,0.0007495426,0.0017561413,3.763718e-06,1.6440105e-06,2.6907878e-06,47.10704,47.10704
19109199,2490386,2490386,0,0,0,0,0,252.85728,252.85728,8091.433,8091.433,0.02094333,0.0012716035,5.4211355e-06,0.108972594,-0.094242156,-9.880552,0.0144992275,0.0023610352,0.005325279,0.006288341,0.0010834718,0.0015733655,2.5895874e-06,2.5195138e-06,1.3716897e-05,47.125908,47.125908
