timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
1277094,inf,0,1,1,1,0,0,1,1,0,1
2285984,inf,0,1,1,1,0,0,1,0,0,1
3286478,inf,0,1,1,1,0,0,1,0,0,1
4287029,inf,0,1,1,1,0,0,1,0,0,1
5295492,inf,0,1,1,1,0,0,1,0,0,1
6296030,inf,0,1,1,1,0,0,1,0,0,1
7304599,inf,0,1,1,1,0,0,1,0,0,1
8305157,inf,0,1,1,1,0,0,1,0,0,1
9305846,inf,0,1,1,1,0,0,1,0,0,1
10306288,inf,0,1,1,1,0,0,1,0,0,1
11306949,inf,0,1,1,1,0,0,1,0,0,1
12315328,inf,0,1,1,1,0,0,1,0,0,1
13316429,inf,0,1,1,1,0,0,1,0,0,1
14324565,inf,0,1,1,1,0,0,1,0,0,1
15324898,inf,0,1,1,1,0,0,1,0,0,1
16326293,inf,0,1,1,1,0,0,1,0,0,1
17334940,inf,0,1,1,1,0,0,1,0,0,1
18347003,inf,0,1,1,1,0,0,1,0,0,1
19355101,inf,0,1,1,1,0,0,1,0,0,1
20356232,inf,0,1,1,1,0,0,1,0,0,1
21356884,inf,0,1,1,1,0,0,1,0,0,1
22365117,inf,0,1,1,1,0,0,1,0,0,1
23377593,inf,0,1,1,1,0,0,1,0,0,1
24385524,inf,0,1,1,1,0,0,1,0,0,1
25385973,inf,0,1,1,1,0,0,1,0,0,1
26386567,inf,0,1,1,1,0,0,1,0,0,1
27387859,inf,0,1,1,1,0,0,1,0,0,1
28395788,inf,0,1,1,1,0,0,1,0,0,1
29396293,inf,0,1,1,1,0,0,1,0,0,1
30396868,inf,0,1,1,1,0,0,1,0,0,1
31406083,inf,0,1,1,1,0,0,1,0,0,1
32413838,inf,0,1,1,1,0,0,1,0,0,1
33414425,inf,0,1,1,1,0,0,1,0,0,1
34415594,inf,0,1,1,1,0,0,1,0,0,1
35416257,inf,0,1,1,1,0,0,1,0,0,1
36424145,inf,0,1,1,1,0,0,1,0,0,1
37424743,inf,0,1,1,1,0,0,1,0,0,1
38425877,inf,0,1,1,1,0,0,1,0,0,1
39426528,inf,0,1,1,1,0,0,1,0,0,1
40434548,inf,0,1,1,1,0,0,1,0,0,1
41435134,inf,0,1,1,1,0,0,1,0,0,1
42436281,inf,0,1,1,1,0,0,1,0,0,1
43443898,inf,0,1,1,1,0,0,1,0,0,1
44445100,inf,0,1,1,1,0,0,1,0,0,1
45445765,inf,0,1,1,1,0,0,1,0,0,1
46446262,inf,0,1,1,1,0,0,1,0,0,1
47446275,inf,0,1,1,1,0,0,1,0,0,1
48446857,inf,0,1,1,1,0,0,1,0,0,1
49456107,inf,0,1,1,1,0,0,1,0,0,1
50456163,inf,0,1,1,1,0,0,1,0,0,1
51456692,inf,0,1,1,1,0,0,1,0,0,1
52457325,inf,0,1,1,1,0,0,1,0,0,1
53465567,inf,0,1,1,1,0,0,1,0,0,1
54466369,inf,0,1,1,1,0,0,1,0,0,1
55467047,inf,0,1,1,1,0,0,1,0,0,1
56475305,inf,0,1,1,1,0,0,1,0,0,1
57483796,inf,0,1,1,1,0,0,1,0,0,1
58484451,inf,0,1,1,1,0,0,1,0,0,1
59484907,inf,0,1,1,1,0,0,1,0,0,1
60485489,inf,0,1,1,1,0,0,1,0,0,1
61486072,inf,0,1,1,1,0,0,1,0,0,1
62486725,inf,0,1,1,1,0,0,1,0,0,1
63495333,inf,0,1,1,1,0,0,1,0,0,1
