timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
1009454,368634,0,0,0,270565380,268468236,32772,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1510978,368634,0,0,0,270565388,268468236,425999,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2013297,368634,0,0,0,270565420,270565388,2523151,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
2524352,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3034001,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
3540824,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4048826,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4094572,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4599413,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5109964,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5620958,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6128826,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6638792,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7138819,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7647797,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8150797,368634,0,0,0,270565420,270565388,270958607,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8659797,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9163596,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9671795,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10171954,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10683010,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11193851,368634,0,0,0,271089676,268468236,950287,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11694858,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12205794,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12713796,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13215945,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13716581,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14140900,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14642870,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15149900,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15659854,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16160854,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16661796,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17169798,368634,0,0,0,271089708,270565388,271482895,0,1,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17427892,17427887,0,0,0,271155244,270630924,271548431,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17938202,17427887,0,0,0,271155244,270630924,271548431,2,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
